CityID,Price,DayTypeID,roomtypeID,Shared Room,Private Room,PersonCapID,Superhost,Multiple Rooms,Business,Cleanliness Rating,Guest Satisfaction,Bedrooms,City Center (km),Metro Distance (km),Attraction Index,Normalised Attraction Index,Restraunt Index,Normalised Restraunt Index
1,792.7729,1,2,FALSE,FALSE,2,FALSE,FALSE,FALSE,10,97,2,5.9021,1.9406,78.7571,4.1702,97.7565,6.8118
1,213.9526,1,1,FALSE,TRUE,1,TRUE,FALSE,FALSE,10,93,1,7.0179,0.2183,68.8549,3.6459,86.898,6.0552
1,1557.1907,1,2,FALSE,FALSE,2,TRUE,FALSE,FALSE,9,98,2,0.7504,0.8087,834.2476,44.174,603.6605,42.0639
1,317.0623,1,1,FALSE,TRUE,1,TRUE,FALSE,FALSE,10,99,1,3.4009,1.5126,112.4155,5.9525,140.5779,9.7957
1,319.6401,1,2,FALSE,FALSE,1,TRUE,FALSE,FALSE,10,95,1,3.4031,0.7077,159.6272,8.4524,201.2396,14.0227
1,1044.6887,1,2,FALSE,FALSE,1,FALSE,FALSE,FALSE,10,98,1,3.0031,1.6345,146.7892,7.7726,189.3982,13.1975
1,310.9695,1,2,FALSE,FALSE,1,FALSE,FALSE,FALSE,9,94,1,3.5714,2.6197,118.8625,6.2939,151.6815,10.5694
1,295.0343,1,2,FALSE,FALSE,1,FALSE,FALSE,FALSE,9,92,1,4.6654,2.9775,84.3453,4.4661,105.9235,7.3809
1,344.2458,1,2,FALSE,FALSE,1,FALSE,FALSE,FALSE,7,82,0,4.1571,0.1012,118.848,6.2931,151.4783,10.5552
1,3004.9446,1,2,FALSE,FALSE,2,FALSE,FALSE,FALSE,9,95,4,1.6153,1.4025,216.669,11.4728,283.6177,19.7629
1,539.2168,1,2,FALSE,FALSE,1,FALSE,FALSE,FALSE,10,98,1,3.7813,0.9202,138.1534,7.3153,173.6379,12.0993
1,460.9472,1,1,FALSE,TRUE,1,TRUE,FALSE,FALSE,10,98,1,0.5852,0.4013,533.6907,28.2593,946.2699,65.9375
1,1376.5144,1,2,FALSE,FALSE,2,TRUE,FALSE,TRUE,10,93,2,1.9307,1.5858,185.0702,9.7996,248.4165,17.31
1,415.4852,1,2,FALSE,FALSE,2,TRUE,TRUE,FALSE,10,98,1,5.0392,1.7305,78.4954,4.1564,97.633,6.8032
1,215.1243,1,1,FALSE,TRUE,1,TRUE,FALSE,FALSE,10,95,1,3.5992,2.46,115.4003,6.1105,143.5696,10.0041
1,393.4572,1,1,FALSE,TRUE,1,TRUE,FALSE,FALSE,10,97,1,1.4994,0.2315,321.4335,17.0201,395.4548,27.5559
1,232.2312,1,1,FALSE,TRUE,1,FALSE,FALSE,FALSE,10,97,0,3.7167,1.557,103.6615,5.4889,129.6918,9.0371
1,774.2601,1,2,FALSE,FALSE,1,TRUE,FALSE,FALSE,10,100,1,1.8105,0.5203,397.7642,21.0619,440.0203,30.6612
1,291.0505,1,1,FALSE,TRUE,1,FALSE,FALSE,FALSE,9,90,1,0.654,0.3511,400.5475,21.2093,659.9059,45.9832
1,604.5978,1,2,FALSE,FALSE,2,TRUE,TRUE,FALSE,10,95,1,1.8832,0.7067,307.3929,16.2767,397.3066,27.6849
1,467.04,1,2,FALSE,FALSE,1,FALSE,FALSE,FALSE,10,97,1,1.4071,1.3814,310.1071,16.4204,409.4152,28.5286
1,744.4989,1,2,FALSE,FALSE,1,FALSE,FALSE,FALSE,10,92,0,2.6781,1.8441,219.3931,11.617,268.472,18.7075
1,250.744,1,1,FALSE,TRUE,1,TRUE,TRUE,FALSE,10,94,1,2.0616,1.5582,307.3177,16.2727,339.9991,23.6916
1,544.138,1,1,FALSE,TRUE,2,TRUE,TRUE,FALSE,10,97,2,1.7922,1.8749,225.4785,11.9392,277.3609,19.3269
1,424.1558,1,2,FALSE,FALSE,1,FALSE,FALSE,FALSE,10,97,1,3.3426,0.6471,156.6443,8.2944,199.2783,13.886
1,675.6028,1,2,FALSE,FALSE,1,TRUE,FALSE,FALSE,10,97,1,1.2266,0.4873,413.5298,21.8967,546.8313,38.104
1,909.4744,1,2,FALSE,FALSE,2,TRUE,TRUE,FALSE,10,98,2,2.6187,0.4308,253.5041,13.4232,323.2767,22.5264
1,264.1014,1,1,FALSE,TRUE,1,TRUE,FALSE,FALSE,10,98,1,2.851,1.072,147.9559,7.8344,189.0431,13.1728
1,196.6114,1,1,FALSE,TRUE,1,TRUE,TRUE,FALSE,10,97,1,10.7235,0.4546,42.6452,2.2581,53.0361,3.6956
1,700.4429,1,2,FALSE,FALSE,2,TRUE,FALSE,FALSE,9,97,2,4.9345,1.0142,92.0458,4.8739,114.3655,7.9692
1,307.22,1,1,FALSE,TRUE,1,TRUE,FALSE,FALSE,10,99,1,3.8163,2.6424,108.9953,5.7714,135.999,9.4766
1,528.2028,1,1,FALSE,TRUE,2,FALSE,TRUE,FALSE,10,93,1,4.2956,0.1832,114.5206,6.0639,147.0332,10.2455
1,675.6028,1,2,FALSE,FALSE,1,FALSE,FALSE,FALSE,10,94,1,3.3721,2.1387,128.5276,6.8056,180.4947,12.5771
1,675.6028,1,2,FALSE,FALSE,2,TRUE,FALSE,FALSE,10,98,1,1.9609,0.5004,340.9321,18.0526,417.4247,29.0868
1,515.7828,1,2,FALSE,FALSE,3,FALSE,FALSE,FALSE,9,97,1,3.1413,2.2705,134.326,7.1127,168.9306,11.7713
1,442.6687,1,2,FALSE,FALSE,1,FALSE,FALSE,FALSE,10,100,1,1.6809,0.2042,274.3394,14.5265,330.5988,23.0366
1,596.1615,1,2,FALSE,FALSE,2,FALSE,FALSE,FALSE,10,98,3,1.9344,0.2811,459.2495,24.3176,571.2583,39.8061
1,920.4884,1,2,FALSE,FALSE,2,TRUE,FALSE,FALSE,10,99,3,1.2475,0.9395,263.3586,13.945,352.2015,24.5419
1,718.9558,1,2,FALSE,FALSE,1,FALSE,FALSE,FALSE,10,100,1,2.8704,0.6699,220.7169,11.6871,279.1542,19.4519
1,276.5215,1,1,FALSE,TRUE,1,TRUE,TRUE,FALSE,10,96,1,7.7231,3.2463,60.5346,3.2053,74.7723,5.2102
1,988.2127,1,2,FALSE,FALSE,2,FALSE,FALSE,FALSE,9,98,3,2.065,0.1256,400.2049,21.1911,639.7641,44.5797
1,270.4286,1,1,FALSE,TRUE,1,TRUE,TRUE,FALSE,10,98,1,2.4735,0.3348,268.7263,14.2292,355.7007,24.7857
1,798.6315,1,2,FALSE,FALSE,2,FALSE,TRUE,FALSE,8,87,2,0.2184,0.2592,645.9702,34.2046,823.44,57.3785
1,3637.6632,1,2,FALSE,FALSE,2,FALSE,FALSE,FALSE,10,97,3,0.7242,0.1864,442.9522,23.4546,540.7055,37.6771
1,479.4601,1,2,FALSE,FALSE,3,FALSE,FALSE,FALSE,9,92,1,2.01,1.4751,208.1803,11.0233,245.561,17.111
1,934.0801,1,2,FALSE,FALSE,1,TRUE,TRUE,FALSE,10,99,1,1.1548,1.2847,339.7088,17.9878,407.7158,28.4102
1,639.0458,1,2,FALSE,FALSE,2,FALSE,TRUE,FALSE,10,94,2,1.8376,1.5842,194.1409,10.2799,253.2074,17.6439
1,1474.9373,1,1,FALSE,TRUE,5,TRUE,TRUE,FALSE,10,99,2,1.0888,1.2125,370.173,19.6009,435.6184,30.3545
1,1020.083,1,2,FALSE,FALSE,2,TRUE,FALSE,FALSE,9,96,2,1.3888,0.127,482.4563,25.5464,518.9851,36.1636
1,1192.0887,1,2,FALSE,FALSE,2,FALSE,FALSE,FALSE,10,98,2,0.711,0.8957,451.0902,23.8855,646.1172,45.0224
